,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
LOAN,1.0,0.22859466425548003,0.3353929240433354,0.10572770055689043,-0.0013016345302175887,-0.03514449345371514,0.0885395989851963,0.04448749181498253,0.07263119836506587,0.08473473995367767
MORTDUE,0.22859466425548003,1.0,0.8756656164011521,-0.0884802713376433,-0.049516042016725874,-0.0010442782572795154,0.14004685608784476,0.0313919825952611,0.3236314400151849,0.15493909200107595
VALUE,0.3353929240433354,0.8756656164011521,1.0,0.007758520463425186,-0.048689347060368544,-0.01410274661599242,0.1712384463454544,-0.004397792644112305,0.2691487682504722,0.1321744258900671
YOJ,0.10572770055689043,-0.0884802713376433,0.007758520463425186,1.0,-0.06587885526516972,0.03815347484690681,0.20171826329070916,-0.07162702326186027,0.02483845422649109,-0.05589127782963973
DEROG,-0.0013016345302175887,-0.049516042016725874,-0.048689347060368544,-0.06587885526516972,1.0,0.21183186098618506,-0.08304730225023615,0.17393384318173882,0.06188372931886368,0.017065205801752328
DELINQ,-0.03514449345371514,-0.0010442782572795154,-0.01410274661599242,0.03815347484690681,0.21183186098618506,1.0,0.022488373067599477,0.06781243693771839,0.1646386074293476,0.05236446655957779
CLAGE,0.0885395989851963,0.14004685608784476,0.1712384463454544,0.20171826329070916,-0.08304730225023615,0.022488373067599477,1.0,-0.1169345749190406,0.23798699826517927,-0.04647669372197249
NINQ,0.04448749181498253,0.0313919825952611,-0.004397792644112305,-0.07162702326186027,0.17393384318173882,0.06781243693771839,-0.1169345749190406,1.0,0.08838871251315533,0.14134363348116408
CLNO,0.07263119836506587,0.3236314400151849,0.2691487682504722,0.02483845422649109,0.06188372931886368,0.1646386074293476,0.23798699826517927,0.08838871251315533,1.0,0.185538527294068
DEBTINC,0.08473473995367767,0.15493909200107595,0.1321744258900671,-0.05589127782963973,0.017065205801752328,0.05236446655957779,-0.04647669372197249,0.14134363348116408,0.185538527294068,1.0
